GeneID	Control_1	Control_2	Erb1KO_1	Erb1KO_2
ACSS3	3480	3209	3618	2266
ACTA1	4	1	2	1
ACTA2	882	984	855	528
ACTB	65014	62930	70925	49672
ACTBL2	0	0	0	0
ACTC1	0	0	0	0
ACTG1	153564	133319	111590	97416
ACTG2	0	0	1	2
ACTL6A	2330	2023	2485	1848
ACTL6B	1	0	1	0
ACTL7A	0	0	0	0
ACTL7B	0	1	0	0
ACTL8	35	20	37	27
ACTL9	0	0	0	0
ACTN1	11169	10365	12261	7897
ACTN2	0	0	2	1
ACTN3	0	1	0	1
ACTN4	13317	12128	14941	9473
ACTR10	3285	3007	3516	2640
ACTR1A	5739	5928	5846	4080
ACTR1B	3973	3599	3249	2563
ACTR2	9321	8259	11369	9162
ACTR3	3931	3435	5010	3663
ACTR3B	550	461	523	328
ACTR3BP2	0	0	0	0
ACTR3BP5	0	0	0	0
ACTR3C	132	157	179	106
ACTR5	313	346	244	191
ACTR6	954	721	1213	882
ACTR8	1864	1614	1901	1407
ACTRT1	0	0	0	0
ACTRT2	0	0	0	0
ACVR1	972	966	1223	891
ACVR1B	3278	2759	3538	2412
ACVR1C	41	42	78	52
ACVR2A	215	154	217	160
ACVR2B	898	733	946	736
ACVRL1	2	2	0	0
ACY1	23	15	17	10
ACY3	43	62	56	45
ACYP1	191	143	289	173
ACYP2	122	102	153	114
ADA	347	310	201	173
ADAD1	0	0	0	0
ADAD2	0	1	0	0
ADAL	468	371	479	307
ADAM1	210	179	215	133
ADAM10	3068	2645	3571	2319
ADAM11	40	28	39	34
ADAM12	8	11	7	1
ADAM15	12873	11843	10983	7420
ADAM17	1977	1692	2673	1864
ADAM18	0	0	0	0
ADAM19	42	38	44	16
ADAM2	0	0	0	0
ADAM20	6	7	12	7
ADAM21	0	0	1	1
ADAM21P1	0	0	0	0
ADAM22	608	504	823	469
ADAM23	1	5	3	3
ADAM28	0	0	3	2
ADAM29	0	0	0	0
ADAM30	0	0	0	0
ADAM32	106	56	120	87
ADAM33	0	0	0	0
ADAM3A	0	0	0	0
ADAM5P	0	0	0	0
ADAM6	0	0	0	0
ADAM7	0	0	0	0
ADAM8	130	107	99	57
ADAM9	4993	4352	6428	4513
ADAMDEC1	0	0	0	0
ADAMTS1	28	16	30	21
ADAMTS10	0	1	1	0
ADAMTS12	4	5	4	0
ADAMTS13	188	191	158	139
ADAMTS14	0	2	0	0
ADAMTS15	38	44	46	17
ADAMTS16	0	1	0	1
ADAMTS17	12	10	7	4
ADAMTS18	2	0	1	1
ADAMTS19	324	248	300	171
ADAMTS2	1	0	1	0
ADAMTS20	2	1	4	5
ADAMTS3	2	2	1	0
ADAMTS4	2	4	1	0
ADAMTS5	4	6	10	5
ADAMTS6	2	2	8	1
ADAMTS7	26	26	16	16
ADAMTS8	3	0	0	1
ADAMTS9	831	785	1279	556
ADAMTS9-AS2	0	2	0	1
ADAMTSL1	4	7	4	4
ADAMTSL2	0	0	0	0
ADAMTSL3	117	116	192	83
ADAMTSL4	11	9	10	7
ADAMTSL5	105	105	81	50
ADAP1	2130	1811	1590	1296
ADAP2	140	150	185	93
ADAR	32150	27682	68509	40887
ADARB1	664	662	719	505
ADARB2	2	2	5	0
ADAT1	3119	2628	3500	2005
ADAT2	139	129	195	117
ADAT3	83	45	40	32
ADC	54	39	55	33
ADCK1	797	750	749	546
ADCK2	2189	1937	1539	1179
ADCK3	817	693	648	526
ADCK4	1442	1280	1062	871
ADCK5	859	709	595	395
ADCY1	237	189	462	260
ADCY10	9	7	11	5
ADCY2	0	0	0	2
ADCY3	4484	3917	4769	2917
ADCY4	1	1	5	0
ADCY5	3909	3421	3152	1830
ADCY6	7192	6607	7637	4194
ADCY7	430	302	410	254
ADCY8	2	2	3	3
ADCY9	2004	1626	1843	1257
ADCYAP1	0	0	0	0
ADCYAP1R1	2	0	0	0
ADD1	6504	5675	6283	4049
ADD2	0	1	1	3
ADD3	5	7	6	7
ADH1A	0	0	0	0
ADH1B	0	0	0	0
ADH1C	0	0	0	0
ADH4	0	0	0	0
ADH5	3091	2812	2992	2126
ADH6	0	0	0	0
ADH7	0	0	0	0
ADHFE1	7	4	10	9
ADI1	6910	6078	7136	5293
ADIG	0	0	0	0
ADIPOQ	0	0	0	1
ADIPOR1	20435	18906	23103	15772
ADIPOR2	3700	3347	4824	2925
ADK	2259	2132	3009	2063
ADM	415	129	191	411
ADM2	3497	3110	4063	3415
ADNP	9901	8817	11061	7457
ADNP2	2994	2553	3506	2494
ADO	1287	1110	1476	1259
ADORA1	38	45	68	41
ADORA2A	20	17	18	8
ADORA2B	119	130	135	124
ADORA3	2	1	1	0
ADPGK	1768	1652	1898	1232
ADPRH	121	102	162	117
ADPRHL1	1591	1354	1314	866
ADPRHL2	1285	1134	988	927
ADRA1A	0	0	0	2
ADRA1B	2	4	3	0
ADRA1D	0	0	0	0
ADRA2A	3	11	6	11
ADRA2B	2	0	4	0
ADRA2C	284	272	181	154
ADRB1	1	0	3	4
ADRB2	0	0	0	0
ADRB3	0	0	0	0
ADRBK1	5183	4473	5056	3666
ADRBK2	434	392	706	430
ADRM1	7361	6323	6293	5069
ADSL	4338	3806	3734	2756
ADSS	1384	1169	1563	1086
ADSSL1	309	310	248	170
AEBP1	51	56	32	37
AEBP2	759	691	1000	800
AEN	2949	2765	2883	2189
AES	9285	8713	7828	6149
AFAP1	694	613	528	364
AFAP1-AS1	0	0	0	0
AFAP1L1	14	4	14	11
AFAP1L2	45	56	37	24
AFF1	1839	1633	2788	1568
AFF2	1	2	1	1
AFF3	6866	5504	8208	5518
AFF4	10840	8701	15045	9603
AFG3L1P	960	990	1112	799
AFG3L2	6238	5574	6345	4397
AFM	0	0	0	0
AFMID	676	709	804	516
AFP	0	0	0	0
AFTPH	3587	2881	4475	3143
AGA	2362	1958	3619	2637
AGAP1	3190	2725	2756	1942
AGAP11	62	59	88	35
AGAP2	88	83	69	43
AGAP3	3873	3299	2968	2353
AGAP4	0	0	0	0
AGAP5	18	9	24	25
AGAP6	88	92	121	80
AGAP7	22	33	30	18
AGAP8	2	6	2	1
AGAP9	0	0	0	0
AGBL1	0	0	0	0
AGBL2	114	91	155	101
AGBL3	5	3	2	3
AGBL4	7	1	11	6
AGBL5	2748	2402	2266	1522
AGER	95	114	127	47
AGFG1	1739	1458	1740	1341
AGFG2	750	733	688	466
